estimated_price,car_name,miles,vin,body,primary_damage,secondary_damage,start_code,key_fob,airbags,car_image,url
10492,2017 NISSAN ALTIMA 2.5/S/SV/SL/SR,"29,614 mi (Actual)",VIN: 1N4AL3APXHC244537 ,Sedan 4 Door,Rear ,none,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=24205783~SID~I1,https://www.iaai.com/Vehicle?itemID=30207002&RowNumber=287&loadRecent=True
3836,2008 CHEVROLET IMPALA LS,"159,793 mi (Not Required/Exempt)",VIN: 2G1WB58K889267338 ,Sedan 4 Door,Right Front ,none,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=24235237~SID~I1,https://www.iaai.com/Vehicle?itemID=30196789&RowNumber=281&loadRecent=True
6704,2014 FORD FOCUS SE,"78,783 mi (Actual)",VIN: 1FADP3F26EL215515 ,Sedan 4 Door,Front End ,Left Front ,Vehicle Won't Start ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25060510~SID~I1,https://www.iaai.com/Vehicle?itemID=31346114&RowNumber=280&loadRecent=True
7657,2012 TOYOTA CAMRY SE/LE/XLE,"122,200 mi (Actual)",VIN: 4T1BF1FK7CU115399 ,Sedan 4 Door,Front & Rear ,Left Side ,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25023036~SID~I1,https://www.iaai.com/Vehicle?itemID=31272680&RowNumber=279&loadRecent=True
17530,2015 LEXUS GS 350,"64,849 mi (Actual)",VIN: JTHBE1BL0FA009015 ,Sedan 4 Door,Front End ,none,Cannot Test Start ,Missing,Deployed,https://vis.iaai.com/singlethumbnail?imageKeys=25024435~SID~I1,https://www.iaai.com/Vehicle?itemID=31261428&RowNumber=283&loadRecent=True
11033,2015 CHEVROLET CRUZE LT,"34,900 mi (Actual)",VIN: 1G1PC5SB1F7259056 ,Sedan 4 Door,Rear ,none,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=24853984~SID~I1,https://www.iaai.com/Vehicle?itemID=31030574&RowNumber=282&loadRecent=True
8884,2012 HONDA CIVIC LX,"124,417 mi (Actual)",VIN: 2HGFG3B5XCH513628 ,Coupe 2 Door,Theft ,none,Run & Drive (Starts With Jump),Present,Deployed,https://vis.iaai.com/singlethumbnail?imageKeys=24242177~SID~I1,https://www.iaai.com/Vehicle?itemID=30180939&RowNumber=278&loadRecent=True
7032,2001 BMW Z3 3.0,"162,540 mi (Actual)",VIN: WBACN53421LL46512 ,Convertible 2 Door,Front End ,none,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25179371~SID~I1,https://www.iaai.com/Vehicle?itemID=31488783&RowNumber=275&loadRecent=True
0,1999 SATURN SL2 ,"197,610 mi (Actual)",VIN: 1G8ZK5272XZ178386 ,Sedan 4 Door,Mechanical ,none,Vehicle Won't Start ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25346643~SID~I1,https://www.iaai.com/Vehicle?itemID=31738784&RowNumber=274&loadRecent=True
8534,2013 HYUNDAI ELANTRA GLS/LIMITED,"141,530 mi (Actual)",VIN: KMHDH4AE3DU001228 ,Sedan 4 Door,Front End ,none,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25216691~SID~I1,https://www.iaai.com/Vehicle?itemID=31564560&RowNumber=276&loadRecent=True
13784,2014 TOYOTA CAMRY HYBRID/LE/XLE,"25,212 mi (Actual)",VIN: 4T1BD1FK9EU109869 ,US,Roof ,Rear ,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=24852914~SID~I1,https://www.iaai.com/Vehicle?itemID=31030398&RowNumber=277&loadRecent=True
21235,2016 POLARIS RZR XP 4 1000 EPS,"2,056 mi (Actual)",VIN: 3NSVFE99XGF779890 ,SIDE BY SIDE,Rear ,none,Vehicle Starts With Jump ,Present,"Spare Tire Present, Custom Wheels",https://vis.iaai.com/singlethumbnail?imageKeys=24946038~SID~I1,https://www.iaai.com/Vehicle?itemID=31179658&RowNumber=285&loadRecent=True
2800,2008 CHEVROLET COBALT LS,"163,000 mi (Not Actual)",VIN: 1G1AK58F287161465 ,Sedan 4 Door,Front End ,none,Vehicle Won't Start ,Present,Deployed,https://vis.iaai.com/singlethumbnail?imageKeys=25274876~SID~I1,https://www.iaai.com/Vehicle?itemID=31642813&RowNumber=270&loadRecent=True
8668,2014 DODGE CHALLENGER SXT,"103,726 mi (Actual)",VIN: 2C3CDYAG0EH149639 ,Coupe 2 Door,Left & Right Side ,none,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25187417~SID~I1,https://www.iaai.com/Vehicle?itemID=31503319&RowNumber=269&loadRecent=True
4381,2003 HONDA ACCORD EX,"85,510 mi (Actual)",VIN: 1HGCM566X3A117322 ,Sedan 4 Door,Left & Right Side ,Front End ,Run & Drive ,Present,Deployed,https://vis.iaai.com/singlethumbnail?imageKeys=25264913~SID~I1,https://www.iaai.com/Vehicle?itemID=31668520&RowNumber=271&loadRecent=True
2500,2009 FORD FUSION SE,"122,077 mi (Actual)",VIN: 3FAHP07Z99R103908 ,Sedan 4 Door,Left Side ,none,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25274922~SID~I1,https://www.iaai.com/Vehicle?itemID=31642821&RowNumber=272&loadRecent=True
13733,2014 TOYOTA CAMRY L/SE/LE/XLE,"10,702 mi (Actual)",VIN: 4T4BF1FKXER440055 ,US,Front End ,none,Vehicle Starts ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=24240526~SID~I1,https://www.iaai.com/Vehicle?itemID=30167310&RowNumber=268&loadRecent=True
2300,2005 ACURA RL ,"246,382 mi (Not Required/Exempt)",VIN: JH4KB165X5C009112 ,Sedan 4 Door,Front & Rear ,none,Vehicle Won't Start ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25346127~SID~I1,https://www.iaai.com/Vehicle?itemID=31738605&RowNumber=265&loadRecent=True
3100,2008 HONDA CIVIC LX,"235,532 mi (Actual)",VIN: 1HGFA16578L055282 ,Sedan 4 Door,Unknown ,none,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25428756~SID~I1,https://www.iaai.com/Vehicle?itemID=31837860&RowNumber=264&loadRecent=True
4723,2004 DODGE RAM 1500 ST/SLT,"188,271 mi (Not Required/Exempt)",VIN: 1D7HA18D04J182625 ,Pickup 4 Door,Front End ,none,Vehicle Won't Start ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25130031~SID~I1,https://www.iaai.com/Vehicle?itemID=31426361&RowNumber=273&loadRecent=True
14986,2008 TOYOTA TACOMA DOUBLE CAB PRERUNNER,"106,873 mi (Not Required/Exempt)",VIN: 5TEJU62N68Z516623 ,Pickup 4 Door,Rollover ,All Over ,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25187367~SID~I1,https://www.iaai.com/Vehicle?itemID=31503304&RowNumber=267&loadRecent=True
3964,2009 TOYOTA CAMRY SE/LE/XLE,"144,066 mi (Actual)",VIN: 4T1BE46K29U332081 ,Sedan 4 Door,Left Rear ,none,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25261469~SID~I1,https://www.iaai.com/Vehicle?itemID=31668423&RowNumber=266&loadRecent=True
5100,2005 SUBARU LEGACY OUTBACK 2.5I LIMITED,"155,260 mi (Actual)",VIN: 4S4BP62C157305581 ,Wagon 4 Door,Right Front ,Right Rear ,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=24225325~SID~I1,https://www.iaai.com/Vehicle?itemID=30152044&RowNumber=260&loadRecent=True
3200,2009 DODGE CHARGER SXT,1 mi (Not Required/Exempt),VIN: 2B3KA33V29H617747 ,Sedan 4 Door,Left Rear ,none,Cannot Test Start ,Missing,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25425470~SID~I1,https://www.iaai.com/Vehicle?itemID=31837850&RowNumber=259&loadRecent=True
0,2008 SMART FORTWO PASSION,"87,502 mi (Actual)",VIN: WMEEK31X98K147061 ,Convertible 2 Door,Mechanical ,none,Vehicle Won't Start ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25345624~SID~I1,https://www.iaai.com/Vehicle?itemID=31738422&RowNumber=261&loadRecent=True
2100,2009 NISSAN CUBE S/SL,"82,000 mi (Not Actual)",VIN: JN8AZ28R69T113217 ,Sport Utility Vehicle 4 Door,None ,none,Vehicle Won't Start ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25274422~SID~I1,https://www.iaai.com/Vehicle?itemID=31642732&RowNumber=262&loadRecent=True
5,2005 HONDA ACCORD LX,"273,099 mi (Not Required/Exempt)",VIN: 1HGCM82245A007101 ,Coupe 2 Door,Front End ,none,Run & Drive ,Present,Deployed,https://vis.iaai.com/singlethumbnail?imageKeys=25187062~SID~I1,https://www.iaai.com/Vehicle?itemID=31503186&RowNumber=263&loadRecent=True
3600,2012 DODGE AVENGER SE,"97,183 mi (Not Actual)",VIN: 1C3CDZAB4CN115072 ,Sedan 4 Door,Right Rear ,Front End ,Vehicle Won't Start ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25425432~SID~I1,https://www.iaai.com/Vehicle?itemID=31837849&RowNumber=256&loadRecent=True
7136,2008 BMW 535 XI,"95,649 mi (Not Required/Exempt)",VIN: WBANV93518CZ69915 ,Sedan 4 Door,Left Side ,none,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=24947270~SID~I1,https://www.iaai.com/Vehicle?itemID=31194061&RowNumber=255&loadRecent=True
4870,2010 HONDA CIVIC LX,"129,938 mi (Actual)",VIN: 2HGFG1B69AH500458 ,Coupe 2 Door,Front End ,none,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25020658~SID~I1,https://www.iaai.com/Vehicle?itemID=31272119&RowNumber=254&loadRecent=True
5021,2013 HYUNDAI SONATA SE/LIMITED,"196,377 mi (Actual)",VIN: 5NPEC4AC6DH642504 ,Sedan 4 Door,Left Side ,none,Vehicle Won't Start ,N/A,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=24208637~SID~I1,https://www.iaai.com/Vehicle?itemID=30148133&RowNumber=253&loadRecent=True
0,1998 ACURA 3.2TL ,"226,919 mi (Actual)",VIN: JH4UA364XWC009935 ,Sedan 4 Door,Unknown ,none,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25344871~SID~I1,https://www.iaai.com/Vehicle?itemID=31738204&RowNumber=252&loadRecent=True
8161,2007 CHEVROLET SILVERADO C1500 CLASSIC CREW CAB,"100,000 mi (not required/exept",VIN: 2GCEC13V171102559 ,Pickup 4 Door,none,none,Run & Drive ,Present,Deployed,https://vis.iaai.com/singlethumbnail?imageKeys=24948228~SID~I1,https://www.iaai.com/Vehicle?itemID=31194117&RowNumber=258&loadRecent=True
132,2018 HONDA ACCORD SPORT,Transmission Damage ,VIN: 1HGCV1F33JA188869 ,Sedan 4 Door,Left Front ,none,"10,991 mi (Actual)",Vehicle Starts ,"Spare Tire Unknown, Alloy Wheels",https://vis.iaai.com/singlethumbnail?imageKeys=25057231~SID~I1,https://www.iaai.com/Vehicle?itemID=31345832&RowNumber=250&loadRecent=True
3831,2009 NISSAN ALTIMA 2.5/2.5S,"232,136 mi (Actual)",VIN: 1N4AL21E99C184177 ,Sedan 4 Door,Rear ,none,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25019847~SID~I1,https://www.iaai.com/Vehicle?itemID=31271925&RowNumber=249&loadRecent=True
13750,2018 HYUNDAI ELANTRA SEL/VALUE/LIMITED,"35,184 mi (Actual)",VIN: KMHD84LF8JU527212 ,Sedan 4 Door,Front End ,Left Front ,Vehicle Starts ,Present,Deployed,https://vis.iaai.com/singlethumbnail?imageKeys=24897514~SID~I1,https://www.iaai.com/Vehicle?itemID=31098965&RowNumber=251&loadRecent=True
5460,2004 HONDA ACCORD EX,0 mi (Not Required/Exempt),VIN: 1HGCM66524A098215 ,Sedan 4 Door,Left Front ,Front End ,Cannot Test Start ,Present,Deployed,https://vis.iaai.com/singlethumbnail?imageKeys=25019335~SID~I1,https://www.iaai.com/Vehicle?itemID=31271835&RowNumber=247&loadRecent=True
17822,2015 TOYOTA COROLLA L/LE/LE PLS/PRM/S/S PLS,"79,743 mi (Actual)",VIN: 2T1BURHEXFC476529 ,Sedan 4 Door,Right Front ,Left Front ,Vehicle Won't Start ,Present,Deployed,https://vis.iaai.com/singlethumbnail?imageKeys=25054491~SID~I1,https://www.iaai.com/Vehicle?itemID=31345613&RowNumber=246&loadRecent=True
8750,2011 NISSAN ALTIMA S,"75,642 mi (Actual)",VIN: 1N4AL2AP0BN412935 ,Sedan 4 Door,Front End ,Left Side ,Vehicle Starts ,Present,Deployed,https://vis.iaai.com/singlethumbnail?imageKeys=24906936~SID~I1,https://www.iaai.com/Vehicle?itemID=31114055&RowNumber=248&loadRecent=True
7520,2011 NISSAN MAXIMA S/SV,"77,718 mi (Actual)",VIN: 1N4AA5AP4BC864194 ,Sedan 4 Door,Right Side ,none,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25127562~SID~I1,https://www.iaai.com/Vehicle?itemID=31425772&RowNumber=244&loadRecent=True
15665,2014 FORD F150 ,"201,046 mi (Actual)",VIN: 1FTMF1CM4EKE98445 ,US,Front & Rear ,Left & Right Side ,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25053662~SID~I1,https://www.iaai.com/Vehicle?itemID=31345556&RowNumber=243&loadRecent=True
0,1977 MG MGB ,"17,392 mi (Not Required/Exempt)",VIN: GHN5UH425982G ,Unknown Specs,None ,none,Vehicle Won't Start ,Present,None,https://vis.iaai.com/singlethumbnail?imageKeys=25256938~SID~I1,https://www.iaai.com/Vehicle?itemID=31668323&RowNumber=245&loadRecent=True
5497,2014 HYUNDAI ELANTRA SE/SPORT/LIMITED,"56,727 mi (Actual)",VIN: 5NPDH4AE1EH528331 ,Sedan 4 Door,Front End ,Right Side ,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25214758~SID~I1,https://www.iaai.com/Vehicle?itemID=31564288&RowNumber=241&loadRecent=True
4143,2004 ACURA TSX ,1 mi (Not Required/Exempt),VIN: JH4CL968X4C030096 ,Sedan 4 Door,Front End ,Left & Right Side ,Cannot Test Start ,Present,"Spare Tire Missing, Alloy Wheels",https://vis.iaai.com/singlethumbnail?imageKeys=25127438~SID~I1,https://www.iaai.com/Vehicle?itemID=31425743&RowNumber=240&loadRecent=True
14898,2017 NISSAN MAXIMA 3.5S/SV/SL/SR/PLAT,"18,733 mi (Actual)",VIN: 1N4AA6AP0HC399718 ,Sedan 4 Door,Right Side ,none,Run & Drive ,Present,Deployed,https://vis.iaai.com/singlethumbnail?imageKeys=25099957~SID~I1,https://www.iaai.com/Vehicle?itemID=31409041&RowNumber=242&loadRecent=True
0,1996 FORD TAURUS LX,"151,473 mi (Actual)",VIN: 1FALP53S7TA169410 ,Sedan 4 Door,Mechanical ,none,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25328120~SID~I1,https://www.iaai.com/Vehicle?itemID=31721134&RowNumber=238&loadRecent=True
7523,2007 ACURA TL TYPE S,"114,229 mi (Actual)",VIN: 19UUA76537A012966 ,Sedan 4 Door,Front & Rear ,Left & Right Side ,Run & Drive ,Present,Deployed,https://vis.iaai.com/singlethumbnail?imageKeys=25185227~SID~I1,https://www.iaai.com/Vehicle?itemID=31502622&RowNumber=237&loadRecent=True
2475,2000 CHEVROLET SILVERADO K1500,"192,420 mi (Actual)",VIN: 2GCEK19T3Y1161624 ,Pickup 3 Door,None ,none,Run & Drive (Starts With Jump),Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25372595~SID~I1,https://www.iaai.com/Vehicle?itemID=31809392&RowNumber=239&loadRecent=True
6396,2012 HONDA CIVIC LX,"7,722 mi (Actual)",VIN: 2HGFB2F5XCH584170 ,Sedan 4 Door,Front End ,Left Front ,Run & Drive (Starts With Jump),Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=24897997~SID~I1,https://www.iaai.com/Vehicle?itemID=31099037&RowNumber=257&loadRecent=True
6595,2004 CHEVROLET S TRUCK S10,"139,761 mi (Actual)",VIN: 1GCDT13X24K112820 ,Pickup 4 Door,Left & Right Side ,none,Vehicle Won't Start ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25237966~SID~I1,https://www.iaai.com/Vehicle?itemID=31668103&RowNumber=234&loadRecent=True
5192,2013 HYUNDAI ELANTRA GLS/LIMITED,"71,431 mi (Not Actual)",VIN: 5NPDH4AE7DH171879 ,Sedan 4 Door,Front End ,none,Cannot Test Start ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25236511~SID~I1,https://www.iaai.com/Vehicle?itemID=31593139&RowNumber=235&loadRecent=True
1275,2004 MERCEDES-BENZ C 240 4MATIC,"146,340 mi (Actual)",VIN: WDBRF81JX4F446847 ,Sedan 4 Door,Mechanical ,Left Side ,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25341786~SID~I1,https://www.iaai.com/Vehicle?itemID=31737255&RowNumber=231&loadRecent=True
500,1996 PONTIAC GRAND AM SE,"90,655 mi (Not Required/Exempt)",VIN: 1G2NE52T7TC825679 ,Sedan 4 Door,Mechanical ,none,Vehicle Won't Start ,Present,Standard Wheels,https://vis.iaai.com/singlethumbnail?imageKeys=25342328~SID~I1,https://www.iaai.com/Vehicle?itemID=31737414&RowNumber=233&loadRecent=True
2229,2007 CHEVROLET IMPALA LS,"179,684 mi (Actual)",VIN: 2G1WB58K779321999 ,Sedan 4 Door,Front & Rear ,none,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25178287~SID~I1,https://www.iaai.com/Vehicle?itemID=31488457&RowNumber=236&loadRecent=True
3500,2003 CHEVROLET SILVERADO K1500,"317,325 mi (Actual)",VIN: 1GCEK19V63Z283217 ,Pickup 4 Door,Mechanical ,none,Vehicle Starts ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25341249~SID~I1,https://www.iaai.com/Vehicle?itemID=31737102&RowNumber=229&loadRecent=True
625,1998 TOYOTA COROLLA VE/CE/LE,"217,477 mi (Actual)",VIN: 2T1BR18E3WC049129 ,Sedan 4 Door,Mechanical ,Right Rear ,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25341245~SID~I1,https://www.iaai.com/Vehicle?itemID=31737101&RowNumber=228&loadRecent=True
4308,2012 FIAT 500 POP,"86,765 mi (Actual)",VIN: 3C3CFFAR2CT237953 ,Hatchback 2 Door,Rear ,none,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25197128~SID~I1,https://www.iaai.com/Vehicle?itemID=31667923&RowNumber=227&loadRecent=True
8081,2009 BUICK LACROSSE CXL,"88,073 mi (Not Required/Exempt)",VIN: 2G4WD582791134423 ,Sedan 4 Door,Rear ,none,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=24937506~SID~I1,https://www.iaai.com/Vehicle?itemID=31193554&RowNumber=226&loadRecent=True
4177,2007 NISSAN ALTIMA 2.5/2.5S,"164,478 mi (Actual)",VIN: 1N4AL21E27N437941 ,Sedan 4 Door,Front End ,none,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25221565~SID~I1,https://www.iaai.com/Vehicle?itemID=31579203&RowNumber=225&loadRecent=True
5487,2011 NISSAN ALTIMA S,"104,969 mi (Actual)",VIN: 1N4AL2AP4BC141213 ,Sedan 4 Door,Right Front ,Left Front ,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25273004~SID~I1,https://www.iaai.com/Vehicle?itemID=31642471&RowNumber=232&loadRecent=True
10113,2015 CHEVROLET MALIBU LS,"80,529 mi (Actual)",VIN: 1G11B5SL2FF101235 ,Sedan 4 Door,Front & Rear ,Left & Right Side ,Run & Drive ,Present,Deployed,https://vis.iaai.com/singlethumbnail?imageKeys=24845600~SID~I1,https://www.iaai.com/Vehicle?itemID=31029449&RowNumber=230&loadRecent=True
8669,2010 KIA SOUL +/!/SPORT,"205,458 mi (Actual)",VIN: KNDJT2A27A7069753 ,Sport Utility Vehicle 4 Door,Front End ,Left Front ,Vehicle Won't Start ,Present,Deployed,https://vis.iaai.com/singlethumbnail?imageKeys=25015270~SID~I1,https://www.iaai.com/Vehicle?itemID=31271154&RowNumber=221&loadRecent=True
3055,1999 MAZDA B4000 CAB PLUS,"219,169 mi (Not Required/Exempt)",VIN: 4F4YR16X3XTM06048 ,Pickup 2 Door,Left & Right Side ,none,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=24904663~SID~I1,https://www.iaai.com/Vehicle?itemID=31128468&RowNumber=220&loadRecent=True
22885,2014 FORD MUSTANG GT,"20,309 mi (Not Actual)",VIN: 1ZVBP8CF3E5283603 ,Coupe 2 Door,All Over ,none,Cannot Test Start ,Present,Deployed,https://vis.iaai.com/singlethumbnail?imageKeys=24898215~SID~I1,https://www.iaai.com/Vehicle?itemID=31206692&RowNumber=219&loadRecent=True
0,2007 HYUNDAI SONATA GLS,"132,934 mi (Not Required/Exempt)",VIN: 5NPET46C17H177000 ,Sedan 4 Door,Right Front ,none,Run & Drive ,Present,Custom Wheels,https://vis.iaai.com/singlethumbnail?imageKeys=25340045~SID~I1,https://www.iaai.com/Vehicle?itemID=31736796&RowNumber=218&loadRecent=True
6186,2008 DODGE CALIBER SXT,"58,076 mi (Actual)",VIN: 1B3HB48B58D596268 ,Hatchback 4 Door,Front End ,none,Vehicle Won't Start ,Present,Deployed,https://vis.iaai.com/singlethumbnail?imageKeys=24141949~SID~I1,https://www.iaai.com/Vehicle?itemID=30082570&RowNumber=222&loadRecent=True
4097,2004 HONDA CIVIC LX,"163,670 mi (Not Actual)",VIN: 2HGES15674H520511 ,Sedan 4 Door,Rear ,none,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25183772~SID~I1,https://www.iaai.com/Vehicle?itemID=31502194&RowNumber=217&loadRecent=True
0,2005 CHEVROLET MALIBU LS,"132,271 mi (Not Required/Exempt)",VIN: 1G1ZT52805F232240 ,Sedan 4 Door,Mechanical ,Right Side ,Vehicle Won't Start ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25339971~SID~I1,https://www.iaai.com/Vehicle?itemID=31736773&RowNumber=216&loadRecent=True
5424,2009 TOYOTA CAMRY SE/LE/XLE,"97,382 mi (Actual)",VIN: 4T1BE46K89U835145 ,Sedan 4 Door,Front End ,Left Rear ,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=24926921~SID~I1,https://www.iaai.com/Vehicle?itemID=31206945&RowNumber=224&loadRecent=True
4168,2007 INFINITI G35 ,"218,936 mi (Actual)",VIN: JNKBV61E97M701967 ,Sedan 4 Door,Left Front ,Suspension ,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=24931851~SID~I1,https://www.iaai.com/Vehicle?itemID=31178495&RowNumber=223&loadRecent=True
3559,2006 CHEVROLET MALIBU LT,"109,761 mi (Actual)",VIN: 1G1ZT51F46F287646 ,Sedan 4 Door,Rear ,Right Side ,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=24841792~SID~I1,https://www.iaai.com/Vehicle?itemID=31029094&RowNumber=213&loadRecent=True
5300,2009 INFINITI M35 SPORT,"206,758 mi (Not Required/Exempt)",VIN: JNKCY01F09M851891 ,Sedan 4 Door,Repossession ,Left Rear ,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25339676~SID~I1,https://www.iaai.com/Vehicle?itemID=31736688&RowNumber=215&loadRecent=True
850,2003 AUDI A4 3.0 QUATTRO,"146,808 mi (Not Actual)",VIN: WAULT68E33A178178 ,Sedan 4 Door,Unknown ,Left Rear ,Vehicle Won't Start ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25339518~SID~I1,https://www.iaai.com/Vehicle?itemID=31736647&RowNumber=214&loadRecent=True
6480,1999 FORD F150 ,"100,000 mi (not required/exept",VIN: 1FTRX18L2XNA48667 ,Pickup 4 Door,none,none,Run & Drive ,Present,Deployed,https://vis.iaai.com/singlethumbnail?imageKeys=25231993~SID~I1,https://www.iaai.com/Vehicle?itemID=31568190&RowNumber=210&loadRecent=True
500,1995 HYUNDAI ACCENT L,"274,093 mi (Actual)",VIN: KMHVD14N0SU052614 ,Hatchback 2 Door,Mechanical ,none,Vehicle Won't Start ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=24128866~SID~I1,https://www.iaai.com/Vehicle?itemID=30027529&RowNumber=209&loadRecent=True
13964,2010 TOYOTA PRIUS ,"80,123 mi (Actual)",VIN: JTDKN3DU7A0029683 ,Hatchback 4 Door,Front End ,none,Vehicle Won't Start ,Present,Deployed,https://vis.iaai.com/singlethumbnail?imageKeys=25019762~SID~I1,https://www.iaai.com/Vehicle?itemID=31260331&RowNumber=211&loadRecent=True
31011,2004 FORD F350 SRW SUPER DUTY,0 mi (Not Required/Exempt),VIN: 1FTSX31P34ED53004 ,Pickup 4 Door,Exterior Burn ,Left Side ,Vehicle Won't Start ,N/A,"Spare Tire Missing, Alloy Wheels",https://vis.iaai.com/singlethumbnail?imageKeys=24899389~SID~I1,https://www.iaai.com/Vehicle?itemID=31128100&RowNumber=208&loadRecent=True
5722,2012 NISSAN SENTRA 2.0/2.0S/SR/2.0SL,"80,682 mi (Actual)",VIN: 3N1AB6AP3CL741525 ,Sedan 4 Door,Right Front ,none,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=24889142~SID~I1,https://www.iaai.com/Vehicle?itemID=31097838&RowNumber=207&loadRecent=True
5638,2012 TOYOTA COROLLA S/LE,"139,019 mi (Actual)",VIN: 2T1BU4EE6CC772151 ,Sedan 4 Door,Right Front ,none,Vehicle Starts ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=24092249~SID~I1,https://www.iaai.com/Vehicle?itemID=30021968&RowNumber=206&loadRecent=True
1100,2004 NISSAN MAXIMA SE/SL,"217,657 mi (Not Required/Exempt)",VIN: 1N4BA41E44C837514 ,Sedan 4 Door,Rear ,Right Side ,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25337072~SID~I1,https://www.iaai.com/Vehicle?itemID=31736089&RowNumber=205&loadRecent=True
1300,2003 TOYOTA COROLLA MATRIX XR,"164,000 mi (Not Actual)",VIN: 2T1KR32E13C048559 ,Hatchback 4 Door,Left & Right Side ,none,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25336991~SID~I1,https://www.iaai.com/Vehicle?itemID=31736072&RowNumber=204&loadRecent=True
2275,2008 CHEVROLET IMPALA LT,"127,667 mi (Not Required/Exempt)",VIN: 2G1WT58N681253637 ,Sedan 4 Door,Front & Rear ,Left Side ,Vehicle Won't Start ,Present,Deployed,https://vis.iaai.com/singlethumbnail?imageKeys=24126165~SID~I1,https://www.iaai.com/Vehicle?itemID=30013443&RowNumber=203&loadRecent=True
