estimated_price,car_name,miles,vin,body,primary_damage,secondary_damage,start_code,key_fob,airbags,car_image,url
5175,2012 FIAT 500 SPORT,"52,626 mi (Actual)",VIN: 3C3CFFBR4CT113455 ,Hatchback 2 Door,Unknown ,none,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25168328~SID~I1,https://www.iaai.com/Vehicle?itemID=31806661&RowNumber=25&loadRecent=True
3294,1994 TOYOTA CAMRY XLE,"111,699 mi (Actual)",VIN: 4T1GK13E1RU019504 ,SEDAN 4 DOOR,Front End ,Right Side ,Cannot Test Start ,Missing,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=24908650~SID~I1,https://www.iaai.com/Vehicle?itemID=31101282&RowNumber=343&loadRecent=True
950,2001 MERCEDES-BENZ E 320,"158,150 mi (Actual)",VIN: WDBJF65J71B222482 ,Sedan 4 Door,Front End ,none,Vehicle Won't Start ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25282362~SID~I1,https://www.iaai.com/Vehicle?itemID=31644719&RowNumber=342&loadRecent=True
7250,2012 FORD MUSTANG ,"113,990 mi (Actual)",VIN: 1ZVBP8AMXC5270412 ,Coupe 2 Door,Right Side ,Front & Rear ,Run & Drive (Starts With Jump),Present,"Spare Tire Missing, Alloy Wheels",https://vis.iaai.com/singlethumbnail?imageKeys=24639220~SID~I1,https://www.iaai.com/Vehicle?itemID=31806452&RowNumber=24&loadRecent=True
7096,2011 TOYOTA CAMRY SE/LE/XLE,"59,239 mi (Actual)",VIN: 4T1BF3EK6BU631555 ,Sedan 4 Door,Front End ,none,Vehicle Won't Start ,Present,Deployed,https://vis.iaai.com/singlethumbnail?imageKeys=24352578~SID~I1,https://www.iaai.com/Vehicle?itemID=30307305&RowNumber=340&loadRecent=True
5424,2010 TOYOTA COROLLA S/LE/XLE,"135,482 mi (Actual)",VIN: 2T1BU4EE1AC254560 ,Sedan 4 Door,Front End ,none,Vehicle Won't Start ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25285547~SID~I1,https://www.iaai.com/Vehicle?itemID=31669772&RowNumber=346&loadRecent=True
1850,2006 MERCEDES-BENZ C GENERATION 2006 280 4MATIC,"193,909 mi (Actual)",VIN: WDBRF92H66F769989 ,Sedan 4 Door,Mechanical ,none,Vehicle Won't Start ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25333034~SID~I1,https://www.iaai.com/Vehicle?itemID=31722390&RowNumber=338&loadRecent=True
4851,2006 INFINITI G35 ,"147,148 mi (Not Required/Exempt)",VIN: JNKCV54E56M717897 ,Coupe 2 Door,Rear ,Right Front ,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25034316~SID~I1,https://www.iaai.com/Vehicle?itemID=31275563&RowNumber=349&loadRecent=True
1804,2001 TOYOTA CAMRY SOLARA SE/SLE,"182,635 mi (Not Required/Exempt)",VIN: 2T1CF28P51C440943 ,Coupe 2 Door,Front End ,none,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25181471~SID~I1,https://www.iaai.com/Vehicle?itemID=31489392&RowNumber=337&loadRecent=True
5475,2009 TOYOTA COROLLA LE/XLE,0 mi (Not Required/Exempt),VIN: JTDBL40E399025860 ,Sedan 4 Door,Front End ,Left Front ,Vehicle Won't Start ,Present,Deployed,https://vis.iaai.com/singlethumbnail?imageKeys=24923012~SID~I1,https://www.iaai.com/Vehicle?itemID=31130995&RowNumber=336&loadRecent=True
5551,2000 ACURA 3.2TL ,"999,999 mi (Not Required/Exempt)",VIN: 19UUA566XYA064822 ,Sedan 4 Door,Front & Rear ,Right Side ,Cannot Test Start ,Missing,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25003215~SID~I1,https://www.iaai.com/Vehicle?itemID=31314794&RowNumber=335&loadRecent=True
7293,2006 MAZDA MX-5 MIATA ,"103,612 mi (Actual)",VIN: JM1NC25FX60105773 ,Convertible 2 Door,Front & Rear ,none,Vehicle Won't Start ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=24908198~SID~I1,https://www.iaai.com/Vehicle?itemID=31101158&RowNumber=339&loadRecent=True
1050,2001 HONDA ACCORD EX,"100,000 mi (not required/exept",VIN: 1HGCG32501A014335 ,Coupe 2 Door,none,none,Run & Drive ,Present,Deployed,https://vis.iaai.com/singlethumbnail?imageKeys=25332865~SID~I1,https://www.iaai.com/Vehicle?itemID=31722342&RowNumber=334&loadRecent=True
5286,2009 NISSAN ALTIMA 2.5/2.5S,0 mi (Not Required/Exempt),VIN: 1N4AL21E59N530164 ,Sedan 4 Door,Rear ,none,Cannot Test Start ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=24296693~SID~I1,https://www.iaai.com/Vehicle?itemID=30298200&RowNumber=332&loadRecent=True
9511,2015 CHEVROLET CRUZE LT,"20,820 mi (Actual)",VIN: 1G1PC5SB3F7213325 ,Sedan 4 Door,Right Rear ,none,Vehicle Starts ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25068479~SID~I1,https://www.iaai.com/Vehicle?itemID=31347104&RowNumber=331&loadRecent=True
1400,2007 DODGE CALIBER SXT,"146,335 mi (Not Required/Exempt)",VIN: 1B3HB48BX7D539398 ,Hatchback 4 Door,Front End ,none,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25355804~SID~I1,https://www.iaai.com/Vehicle?itemID=31740900&RowNumber=333&loadRecent=True
4004,1994 FORD MUSTANG ,"100,000 mi (not required/exept",VIN: 1FALP4444RF122809 ,CONVERTIBLE 2 DOOR,none,none,Run & Drive ,Present,Deployed,https://vis.iaai.com/singlethumbnail?imageKeys=24862124~SID~I1,https://www.iaai.com/Vehicle?itemID=31032139&RowNumber=341&loadRecent=True
7182,2006 FORD F150 ,"122,223 mi (Not Required/Exempt)",VIN: 1FTPX12516NA15403 ,Pickup 4 Door,Left Rear ,Rear ,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25060567~SID~I1,https://www.iaai.com/Vehicle?itemID=31332450&RowNumber=329&loadRecent=True
7471,2013 HONDA INSIGHT EX,"82,337 mi (Actual)",VIN: JHMZE2H70DS003155 ,Hatchback 4 Door,Left Front ,Left Side ,Run & Drive (Starts With Jump),Present,Deployed,https://vis.iaai.com/singlethumbnail?imageKeys=25068218~SID~I1,https://www.iaai.com/Vehicle?itemID=31347055&RowNumber=330&loadRecent=True
9845,2014 CHEVROLET CRUZE LT,"55,382 mi (Actual)",VIN: 1G1PC5SB1E7242238 ,Sedan 4 Door,Right Side ,Front & Rear ,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=24966944~SID~I1,https://www.iaai.com/Vehicle?itemID=31208849&RowNumber=326&loadRecent=True
7228,2011 VOLKSWAGEN CC SPORT,"75,684 mi (Actual)",VIN: WVWMP7AN0BE728276 ,Sedan 4 Door,Left Side ,none,Run & Drive ,Present,Deployed,https://vis.iaai.com/singlethumbnail?imageKeys=25180882~SID~I1,https://www.iaai.com/Vehicle?itemID=31489230&RowNumber=325&loadRecent=True
7781,2006 LEXUS GS GENERATION 200 300,"333,777 mi (Not Required/Exempt)",VIN: JTHBH96SX65015484 ,Sedan 4 Door,Right Front ,Front End ,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25242787~SID~I1,https://www.iaai.com/Vehicle?itemID=31594282&RowNumber=322&loadRecent=True
3621,2003 HONDA ACCORD EX,"161,047 mi (Actual)",VIN: 1HGCM66563A103043 ,Sedan 4 Door,Rear ,Left Rear ,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25229187~SID~I1,https://www.iaai.com/Vehicle?itemID=31580152&RowNumber=328&loadRecent=True
